UsahaID	Nama	Alamat	Southing	Easting
1	ADA RASA	"JL. KUMPULREJO NO. 29 KEL. GENDONGAN, KEC. TINGKIR, KOTA SALATIGA"	-7.33722	110.5103
2	SMESCO WAHANA	"JL. RAYA TINGKIR-SURUH KM. 1 KEL. TINGKIR TENGAH, KEC. TINGKIR, SALATIGA"	-7.3619	110.52077
3	MAHKOTA JAYA	"JL. JEND. SUDIRMAN NO. 9 KOMPLEK MAKUTOROMO, KEL. KALICACING, KEC. SIDOMUKTI, SALATIGA"	-7.33432	110.50561
4	TOKO SUKOWATI	"JL. LETJEND. SUKOWATI 8, KEL. KALICACING, KEC. SIDOMUKTI, SALATIGA"	-7.3316	110.50442
5	CV. ARINTA FAZA	"JL. KEMIRI III/24, KEL. SALATIGA, KEC. SIDOREJO, SALATIGA"	-7.31522	110.50079
6	CV. SALATIGA SEMANGAT BARU	"JL. HASANUDIN NO 105 BANJARAN, KEL. MANGUNSARI, KEC. SIDOMUKTI,  SALATIGA"	-7.3416	110.50079
7	CV. BASKORO UTAMA	"JL. TEMPELREJO NO 8 RT 03  RW 03, KEL. GENDONGAN, KEC. TINGKIR, SALATIGA"	-7.3416	110.49433
8	RIDZKI TIRTA	"JL. SONOTIRTO 675 PANCURAN RT13/04, KEL. KUTOWINANGUN, KEC. TINGKIR, SALATIGA"	-7.33527	110.50951
9	BENGKEL BUBUT ARGO TEHNIK	"JL. ARGOTUNGGAL NO. 36,  KEL. LEDOK, KEC. ARGOMULYO, SALATIGA"	-7.32602	110.50489
10	ASRAMA BUAH	"JL. ABIYOSO RT 02/01, KEL. DUKUH KEC. SIDOMUKTI, SALATIGA"	-7.36005	110.51353
11	SEVENTEEN	"JL. TIDORE 29, KEL. TEGALREJO, KEC. ARGOMULYO, SALATIGA"	-7.32689	110.50462
12	TOKO ONG HWA DJAY 	"JL. LETJEND SUKOWATI NO 8, KEL. KALICACING KEC. SIDOMUKTI SALATIGA"	-7.33158	110.50439
13	BENGKEL TERTA JAYA	"JL. HASANUDIN 80 BANJARAN RT01/12, KEL. MANGUNSARI KEC. SIDOMUKTI, SALATIGA"	-7.34175	110.49445
14	"KIOS ""NN"""	"PASAR RAYA I NO E5-E6 LANTAI 1, KEL. KUTOWINANGUN, KEC. TINGKIR, SALATIGA"	-7.3263	110.50324
15	KURNIA ALAM 	"JL. VETERAN NO 45, KEL. LEDOK, KEC. ARGOMULYO SALATIGA"	-7.34111	110.50688
16	TOKO KHARISMA	"JL. A. YANI NO 46, KEL. KALICACING, KEC. SIDOMUKTI, SALATIGA"	-7.33425	110.50263
17	TRISAKA BUMI KENCANA	"JL. TETEP ASRI C-5, KEL. RANDUACIR, KEC. ARGOMULYO, SALATIGA"	-7.36562	110.49693
18	AGUS FARM	"JL. JOKO TINGKIR NGEPOS RT02/08, KEL. TINGKIR TENGAH, KEC. TINGKIR, SALATIGA"	-7.36381	110.52265
19	ISTANA MARTABAK DAN PEMPEK	"JL. MARGOSARI RAYA 14, KEL. SALATIGA. KEC. SIDOREJO, SALATIGA"	-7.32511	110.50146
